Employee_ID,Gender,Department,Job_Role,Education_Level,Experience_Years,Performance_Rating,Employment_Type
E001,Other,Marketing,Marketing Executive,High School,3,Good,Contract
E002,Female,Finance,Accountant,Bachelor's,14,Below Average,Intern
E003,Other,Sales,Sales Manager,PhD,6,Excellent,Full-Time
E004,Male,Sales,Sales Executive,PhD,23,Below Average,Contract
E005,Female,Sales,Sales Manager,PhD,0,Excellent,Full-Time
E006,Female,Finance,Accountant,PhD,18,Good,Full-Time
E007,Male,Sales,Sales Executive,Master's,5,Poor,Full-Time
E008,Female,Engineering,Hardware Engineer,High School,11,Below Average,Full-Time
E009,Male,Sales,Sales Executive,High School,23,Excellent,Full-Time
E010,Other,HR,HR Executive,Bachelor's,22,Average,Contract
E011,Other,Marketing,Marketing Executive,High School,8,Excellent,Part-Time
E012,Female,Engineering,Systems Analyst,Bachelor's,5,Below Average,Contract
E013,Female,HR,Recruiter,Master's,9,Average,Part-Time
E014,Male,HR,HR Executive,Bachelor's,0,Below Average,Intern
E015,Other,Support,Customer Support,High School,19,Good,Part-Time
E016,Other,Sales,Sales Manager,PhD,8,Average,Contract
E017,Female,Engineering,Hardware Engineer,PhD,14,Poor,Intern
E018,Other,Finance,Accountant,PhD,16,Poor,Intern
E019,Male,Engineering,Software Engineer,Bachelor's,18,Excellent,Full-Time
E020,Male,Support,Technical Support,Master's,6,Good,Full-Time
E021,Other,Support,Technical Support,Bachelor's,1,Below Average,Intern
E022,Female,Sales,Sales Executive,Master's,1,Below Average,Part-Time
E023,Male,HR,HR Executive,PhD,10,Below Average,Intern
E024,Female,HR,HR Executive,PhD,18,Poor,Full-Time
E025,Male,HR,HR Executive,PhD,20,Poor,Full-Time
E026,Female,Marketing,Marketing Executive,High School,7,Below Average,Intern
E027,Male,Sales,Sales Manager,Master's,14,Average,Full-Time
E028,Male,Finance,Financial Analyst,High School,25,Poor,Intern
E029,Female,HR,Recruiter,PhD,8,Excellent,Part-Time
E030,Other,Support,Technical Support,High School,6,Below Average,Part-Time
E031,Female,Marketing,SEO Specialist,Bachelor's,3,Excellent,Part-Time
E032,Male,Sales,Sales Executive,Bachelor's,6,Good,Intern
E033,Female,Marketing,Marketing Executive,Master's,25,Average,Intern
E034,Other,Sales,Sales Manager,PhD,22,Average,Part-Time
E035,Female,Support,Technical Support,Bachelor's,4,Average,Part-Time
E036,Other,Engineering,Software Engineer,Bachelor's,3,Poor,Full-Time
E037,Other,Finance,Financial Analyst,Bachelor's,0,Below Average,Part-Time
E038,Other,Support,Customer Support,High School,16,Average,Contract
E039,Female,Engineering,Systems Analyst,Master's,11,Below Average,Contract
E040,Female,HR,HR Executive,Bachelor's,13,Average,Full-Time
E041,Male,Sales,Sales Manager,PhD,7,Poor,Full-Time
E042,Male,Support,Customer Support,Master's,4,Good,Contract
E043,Male,Finance,Accountant,PhD,14,Poor,Intern
E044,Other,Marketing,SEO Specialist,Master's,7,Below Average,Intern
E045,Female,Marketing,Marketing Executive,Bachelor's,23,Below Average,Intern
E046,Other,HR,Recruiter,Bachelor's,20,Below Average,Part-Time
E047,Male,HR,HR Executive,PhD,5,Below Average,Intern
E048,Female,Finance,Accountant,PhD,5,Average,Full-Time
E049,Other,Marketing,SEO Specialist,Bachelor's,1,Poor,Full-Time
E050,Female,Finance,Accountant,Master's,6,Good,Full-Time
E051,Male,HR,Recruiter,PhD,12,Average,Part-Time
E052,Female,Sales,Sales Manager,High School,2,Average,Intern
E053,Male,Engineering,Hardware Engineer,Bachelor's,17,Average,Intern
E054,Male,Sales,Sales Executive,Bachelor's,8,Good,Contract
E055,Female,Sales,Sales Executive,PhD,25,Average,Intern
E056,Other,Sales,Sales Manager,Bachelor's,12,Good,Intern
E057,Male,Sales,Sales Executive,Master's,19,Excellent,Contract
E058,Male,HR,HR Executive,PhD,2,Below Average,Full-Time
E059,Female,Sales,Sales Manager,Master's,24,Average,Part-Time
E060,Other,Support,Technical Support,Master's,2,Poor,Intern
E061,Female,Sales,Sales Manager,Bachelor's,22,Excellent,Contract
E062,Female,Finance,Accountant,Master's,23,Good,Intern
E063,Female,HR,Recruiter,High School,13,Good,Part-Time
E064,Female,Marketing,Marketing Executive,Master's,23,Average,Contract
E065,Male,Support,Technical Support,High School,15,Average,Full-Time
E066,Other,Sales,Sales Manager,PhD,11,Below Average,Full-Time
E067,Female,HR,HR Executive,High School,23,Excellent,Intern
E068,Other,Finance,Financial Analyst,High School,5,Below Average,Contract
E069,Male,Engineering,Systems Analyst,PhD,22,Average,Full-Time
E070,Other,Sales,Sales Executive,Master's,4,Good,Full-Time
E071,Other,Support,Customer Support,High School,11,Good,Contract
E072,Other,Finance,Financial Analyst,High School,11,Good,Intern
E073,Male,Support,Customer Support,Master's,2,Average,Full-Time
E074,Male,Support,Customer Support,Master's,19,Poor,Part-Time
E075,Male,Support,Technical Support,High School,5,Excellent,Full-Time
E076,Female,Finance,Accountant,Bachelor's,4,Excellent,Full-Time
E077,Other,HR,HR Executive,Master's,16,Good,Part-Time
E078,Other,Finance,Accountant,Bachelor's,15,Poor,Contract
E079,Female,Support,Customer Support,Bachelor's,24,Poor,Full-Time
E080,Female,HR,Recruiter,Master's,9,Excellent,Full-Time
